,,,DYAA,DYCP,MDO,NYAA
ExDO48,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO48,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO48,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO48,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO48,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO48,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO48,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO49,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO50,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO51,01/04/2027 00:00:00,4,9.00,0.00,9.00,9.00
ExDO51,01/04/2028 00:00:00,4,9.00,0.00,9.00,9.00
ExDO51,01/04/2029 00:00:00,4,9.00,0.00,9.00,9.00
ExDO51,01/04/2030 00:00:00,4,9.00,0.00,9.00,9.00
ExDO51,01/04/2031 00:00:00,4,9.00,0.00,9.00,9.00
ExDO51,01/04/2032 00:00:00,4,9.00,0.00,9.00,9.00
ExDO51,01/04/2033 00:00:00,4,9.00,0.00,9.00,9.00
ExDO51,01/04/2034 00:00:00,4,9.00,0.00,9.00,9.00
ExDO51,01/04/2035 00:00:00,4,9.00,0.00,9.00,9.00
ExDO51,01/04/2036 00:00:00,4,9.00,0.00,9.00,9.00
ExDO51,01/04/2037 00:00:00,4,9.00,0.00,9.00,9.00
ExDO51,01/04/2038 00:00:00,4,9.00,0.00,9.00,9.00
ExDO51,01/04/2039 00:00:00,4,9.00,0.00,9.00,9.00
ExDO52,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO52,01/04/2027 00:00:00,4,17.52,0.00,17.52,17.52
ExDO52,01/04/2028 00:00:00,4,17.52,0.00,17.52,17.52
ExDO52,01/04/2029 00:00:00,4,17.52,0.00,17.52,17.52
ExDO52,01/04/2030 00:00:00,4,17.52,0.00,17.52,17.52
ExDO52,01/04/2031 00:00:00,4,17.52,0.00,17.52,17.52
ExDO52,01/04/2032 00:00:00,4,17.52,0.00,17.52,17.52
ExDO52,01/04/2033 00:00:00,4,17.52,0.00,17.52,17.52
ExDO52,01/04/2034 00:00:00,4,17.52,0.00,17.52,17.52
ExDO52,01/04/2035 00:00:00,4,17.52,0.00,17.52,17.52
ExDO52,01/04/2036 00:00:00,4,17.52,0.00,17.52,17.52
ExDO52,01/04/2037 00:00:00,4,17.52,0.00,17.52,17.52
ExDO52,01/04/2038 00:00:00,4,17.52,0.00,17.52,17.52
ExDO52,01/04/2039 00:00:00,4,17.52,0.00,17.52,17.52
ExDO53,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2019 00:00:00,4,0.00,0.00,-1.00,-1.00
ExDO53,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO53,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO54,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO55,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO56,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO01cj,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO08,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO11,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2031 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2032 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2033 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2034 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2035 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2036 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2037 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2038 00:00:00,4,0.00,0.00,0.00,0.00
ExDO13,01/04/2039 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2011 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2012 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2013 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2014 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2015 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2016 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2017 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2018 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2019 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2020 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2021 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2022 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2023 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2024 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2025 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2026 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2027 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2028 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2029 00:00:00,4,0.00,0.00,0.00,0.00
ExDO39c,01/04/2030 00:00:00,4,0.00,0.00,0.00,0.00
